job_description,category
machine learning engineer deep learning Python model training deployment software development lifecycle version control Git,Machine Learning Engineer
information security network security penetration testing risk assessment version control Git debugging and testing,Cybersecurity Engineer
information security network security penetration testing risk assessment technical documentation team collaboration problem solving,Cybersecurity Engineer
security engineer Python Linux threat detection cybersecurity version control Git debugging and testing,Cybersecurity Engineer
data engineer data pipelines SQL Python cloud data warehouse version control Git team collaboration problem solving,Data Engineer
data engineering Apache Spark Python SQL databases ETL debugging and testing version control Git,Data Engineer
database engineer Oracle MySQL PostgreSQL performance optimization software development lifecycle technical documentation,Database Administrator
machine learning engineer Python scikit-learn machine learning model deployment debugging and testing team collaboration problem solving,Machine Learning Engineer
DevOps AWS Jenkins Docker Git Linux deployment automation debugging and testing team collaboration problem solving,DevOps Engineer
DevOps Docker Kubernetes Jenkins AWS Linux automation technical documentation team collaboration problem solving,DevOps Engineer
cloud infrastructure engineer Azure virtual machines networking security technical documentation debugging and testing,Cloud Engineer
cloud engineer AWS Azure Docker Kubernetes cloud infrastructure software development lifecycle version control Git,Cloud Engineer
backend developer Java Python SQL API development Git software development lifecycle version control Git,Software Developer
DevOps Docker Kubernetes Jenkins AWS Linux automation software development lifecycle version control Git,DevOps Engineer
business analyst SQL Power BI Excel dashboards data analysis version control Git debugging and testing,Data Analyst
DevOps Docker Kubernetes Jenkins AWS Linux automation software development lifecycle technical documentation,DevOps Engineer
web development JavaScript HTML CSS responsive design React debugging and testing team collaboration problem solving,Web Developer
web developer HTML CSS JavaScript React frontend development debugging and testing technical documentation,Web Developer
AWS cloud engineer Linux Docker Kubernetes deployment team collaboration problem solving version control Git,Cloud Engineer
data scientist Python statistics machine learning Pandas NumPy data analysis debugging and testing version control Git,Data Scientist
machine learning engineer deep learning Python model training deployment version control Git team collaboration problem solving,Machine Learning Engineer
frontend engineer React JavaScript CSS HTML REST API team collaboration problem solving technical documentation,Web Developer
machine learning systems Python TensorFlow model deployment APIs version control Git technical documentation,Machine Learning Engineer
full stack web developer JavaScript React Node.js HTML CSS team collaboration problem solving debugging and testing,Web Developer
software engineer java python spring boot sql REST API Git technical documentation team collaboration problem solving,Software Developer
site reliability engineer Linux Docker Kubernetes monitoring automation version control Git debugging and testing,DevOps Engineer
data engineer data pipelines SQL Python cloud data warehouse software development lifecycle debugging and testing,Data Engineer
cybersecurity engineer network security vulnerability assessment penetration testing technical documentation version control Git,Cybersecurity Engineer
security engineer Linux network security threat detection SIEM debugging and testing version control Git,Cybersecurity Engineer
database administrator SQL Oracle MySQL database backup performance tuning technical documentation team collaboration problem solving,Database Administrator
application developer Java SQL REST API object oriented programming debugging and testing version control Git,Software Developer
data scientist SQL Python Pandas scikit-learn statistical analysis software development lifecycle technical documentation,Data Scientist
frontend engineer React JavaScript CSS HTML REST API software development lifecycle technical documentation,Web Developer
cloud engineer AWS Azure Docker Kubernetes cloud infrastructure debugging and testing team collaboration problem solving,Cloud Engineer
DBA Oracle SQL Server MySQL database administration software development lifecycle technical documentation,Database Administrator
backend developer Java Python SQL API development Git debugging and testing software development lifecycle,Software Developer
backend developer Java Python SQL API development Git version control Git team collaboration problem solving,Software Developer
ML developer Python scikit-learn NLP computer vision model optimization team collaboration problem solving technical documentation,Machine Learning Engineer
machine learning engineer Python scikit-learn machine learning model deployment team collaboration problem solving software development lifecycle,Machine Learning Engineer
data scientist Python statistics machine learning Pandas NumPy data analysis debugging and testing technical documentation,Data Scientist
security engineer Linux network security threat detection SIEM version control Git debugging and testing,Cybersecurity Engineer
software development algorithms data structures Java Python database development software development lifecycle version control Git,Software Developer
cybersecurity engineer network security vulnerability assessment penetration testing debugging and testing version control Git,Cybersecurity Engineer
cloud engineer AWS Azure Docker Kubernetes cloud infrastructure team collaboration problem solving software development lifecycle,Cloud Engineer
machine learning data science Python statistics predictive analytics team collaboration problem solving debugging and testing,Data Scientist
software development algorithms data structures Java Python database development software development lifecycle version control Git,Software Developer
full stack web developer JavaScript React Node.js HTML CSS team collaboration problem solving debugging and testing,Web Developer
software engineer java python spring boot sql REST API Git software development lifecycle version control Git,Software Developer
cloud engineer AWS EC2 S3 IAM Docker Kubernetes technical documentation team collaboration problem solving,Cloud Engineer
machine learning data science Python statistics predictive analytics technical documentation software development lifecycle,Data Scientist
frontend developer HTML CSS JavaScript Bootstrap React debugging and testing technical documentation,Web Developer
ML engineer Python TensorFlow PyTorch machine learning model development debugging and testing version control Git,Machine Learning Engineer
data engineer data pipelines SQL Python cloud data warehouse software development lifecycle team collaboration problem solving,Data Engineer
full stack web developer JavaScript React Node.js HTML CSS debugging and testing team collaboration problem solving,Web Developer
cybersecurity engineer network security vulnerability assessment penetration testing technical documentation software development lifecycle,Cybersecurity Engineer
